work_id,pid,pillar,domain,module,title,objective,outputs,dependencies,risk,model_routing,verification,escalation
DEVOPS-WORKCONT-AGENWORKCO-TUW-004,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,TUW risk level classifier 정의,TUW risk level classifier 정의을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-WORKCONT-AGENWORKCO-TUW-005,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,Work Contract validation rule 작성,Work Contract validation rule 작성을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-WORKCONT-AGENWORKCO-TUW-006,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,Work Contract sample 10건 작성,Work Contract sample 10건 작성을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-LEDG-LEDGSYST-TUW-001,P0,Development Operating System,Ledger,Ledger System,Decision Ledger schema 작성,Decision Ledger schema 작성을/를 구현하여 Ledger System capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-LEDG-LEDGSYST-TUW-002,P0,Development Operating System,Ledger,Ledger System,Execution Ledger schema 작성,Execution Ledger schema 작성을/를 구현하여 Ledger System capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-LEDG-LEDGSYST-TUW-003,P0,Development Operating System,Ledger,Ledger System,Learning Ledger schema 작성,Learning Ledger schema 작성을/를 구현하여 Ledger System capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-LEDG-LEDGSYST-TUW-004,P0,Development Operating System,Ledger,Ledger System,Ledger record search 구현,Ledger record search 구현을/를 구현하여 Ledger System capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-LEDG-LEDGSYST-TUW-005,P0,Development Operating System,Ledger,Ledger System,Ledger update workflow 정의,Ledger update workflow 정의을/를 구현하여 Ledger System capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-REPOBUIL-CICD-TUW-001,P1,Foundation & SaaS Core,Repository & Build,CI/CD,monorepo skeleton 구성,monorepo skeleton 구성을/를 구현하여 CI/CD capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-REPOBUIL-CICD-TUW-002,P1,Foundation & SaaS Core,Repository & Build,CI/CD,backend/frontend/shared package 분리,backend/frontend/shared package 분리을/를 구현하여 CI/CD capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-REPOBUIL-CICD-TUW-003,P1,Foundation & SaaS Core,Repository & Build,CI/CD,lint/test/build CI 구성,lint/test/build CI 구성을/를 구현하여 CI/CD capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-REPOBUIL-CICD-TUW-004,P1,Foundation & SaaS Core,Repository & Build,CI/CD,staging deployment pipeline 구성,staging deployment pipeline 구성을/를 구현하여 CI/CD capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-REPOBUIL-CICD-TUW-005,P1,Foundation & SaaS Core,Repository & Build,CI/CD,production deployment gate skeleton 구성,production deployment gate skeleton 구성을/를 구현하여 CI/CD capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-DATACORE-MIGR-TUW-001,P1,Foundation & SaaS Core,Database Core,Migration,PostgreSQL migration tool 설정,PostgreSQL migration tool 설정을/를 구현하여 Migration capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-DATACORE-MIGR-TUW-002,P1,Foundation & SaaS Core,Database Core,Migration,initial schema migration 작성,initial schema migration 작성을/를 구현하여 Migration capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-DATACORE-MIGR-TUW-003,P1,Foundation & SaaS Core,Database Core,Migration,seed data loader 구현,seed data loader 구현을/를 구현하여 Migration capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-DATACORE-MIGR-TUW-004,P1,Foundation & SaaS Core,Database Core,Migration,migration rollback 절차 작성,migration rollback 절차 작성을/를 구현하여 Migration capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-DATACORE-MIGR-TUW-005,P1,Foundation & SaaS Core,Database Core,Migration,tenant_id 포함 migration convention 작성,tenant_id 포함 migration convention 작성을/를 구현하여 Migration capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-AUTHCORE-USERSESS-TUW-001,P1,Foundation & SaaS Core,Auth Core,User Session,User schema 구현,User schema 구현을/를 구현하여 User Session capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-AUTHCORE-USERSESS-TUW-002,P1,Foundation & SaaS Core,Auth Core,User Session,login API skeleton 구현,login API skeleton 구현을/를 구현하여 User Session capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-AUTHCORE-USERSESS-TUW-003,P1,Foundation & SaaS Core,Auth Core,User Session,session middleware 구현,session middleware 구현을/를 구현하여 User Session capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-AUTHCORE-USERSESS-TUW-004,P1,Foundation & SaaS Core,Auth Core,User Session,MFA flag field 추가,MFA flag field 추가을/를 구현하여 User Session capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-AUTHCORE-USERSESS-TUW-005,P1,Foundation & SaaS Core,Auth Core,User Session,password reset flow skeleton 작성,password reset flow skeleton 작성을/를 구현하여 User Session capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-TENACORE-TENACONT-TUW-001,P1,Foundation & SaaS Core,Tenant Core,Tenant Context,Tenant schema 구현,Tenant schema 구현을/를 구현하여 Tenant Context capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-TENACORE-TENACONT-TUW-002,P1,Foundation & SaaS Core,Tenant Core,Tenant Context,tenant context middleware 구현,tenant context middleware 구현을/를 구현하여 Tenant Context capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-TENACORE-TENACONT-TUW-003,P1,Foundation & SaaS Core,Tenant Core,Tenant Context,workspace model 구현,workspace model 구현을/를 구현하여 Tenant Context capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Critical,Tier S/A + Human Gate,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-TENACORE-TENACONT-TUW-004,P1,Foundation & SaaS Core,Tenant Core,Tenant Context,cross-tenant access test 작성,cross-tenant access test 작성을/를 구현하여 Tenant Context capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-TENACORE-TENACONT-TUW-005,P1,Foundation & SaaS Core,Tenant Core,Tenant Context,tenant settings API 구현,tenant settings API 구현을/를 구현하여 Tenant Context capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-OBSE-LOGGMETR-TUW-001,P1,Foundation & SaaS Core,Observability,Logging Metrics,structured logger 구현,structured logger 구현을/를 구현하여 Logging Metrics capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-OBSE-LOGGMETR-TUW-002,P1,Foundation & SaaS Core,Observability,Logging Metrics,request correlation id 구현,request correlation id 구현을/를 구현하여 Logging Metrics capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-OBSE-LOGGMETR-TUW-003,P1,Foundation & SaaS Core,Observability,Logging Metrics,health check endpoint 구현,health check endpoint 구현을/를 구현하여 Logging Metrics capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-OBSE-LOGGMETR-TUW-004,P1,Foundation & SaaS Core,Observability,Logging Metrics,metrics endpoint 구현,metrics endpoint 구현을/를 구현하여 Logging Metrics capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
CORE-OBSE-LOGGMETR-TUW-005,P1,Foundation & SaaS Core,Observability,Logging Metrics,error tracking hook 구현,error tracking hook 구현을/를 구현하여 Logging Metrics capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-CLIEMANA-CLIEREGI-TUW-001,P2,Matter-Centric Core,Client Management,Client Registry,Client schema 구현,Client schema 구현을/를 구현하여 Client Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-CLIEMANA-CLIEREGI-TUW-002,P2,Matter-Centric Core,Client Management,Client Registry,client create API 구현,client create API 구현을/를 구현하여 Client Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-CLIEMANA-CLIEREGI-TUW-003,P2,Matter-Centric Core,Client Management,Client Registry,client detail API 구현,client detail API 구현을/를 구현하여 Client Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-CLIEMANA-CLIEREGI-TUW-004,P2,Matter-Centric Core,Client Management,Client Registry,client list filtering 구현,client list filtering 구현을/를 구현하여 Client Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-CLIEMANA-CLIEREGI-TUW-005,P2,Matter-Centric Core,Client Management,Client Registry,client metadata editor 구현,client metadata editor 구현을/를 구현하여 Client Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,Medium,Tier C/D + Automated Verification,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-001,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter schema 구현,Matter schema 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-002,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter create API 구현,Matter create API 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-003,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter type taxonomy enum 구현,Matter type taxonomy enum 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-004,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter metadata validation 구현,Matter metadata validation 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-005,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter detail API 구현,Matter detail API 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-006,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter list pagination 구현,Matter list pagination 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
MATTER-MATTMANA-MATTREGI-TUW-007,P2,Matter-Centric Core,Matter Management,Matter Registry,Matter status badge UI 구현,Matter status badge UI 구현을/를 구현하여 Matter Registry capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
